link name,station1,station2,line,time,distance(miles)
338,1,73,10,2,0.6125532838
339,1,234,10,4,1.170652561
340,1,265,10,3,1.214326319
73,2,156,3,2,0.3791614716
74,2,263,3,4,0.3142783377
254,2,156,8,2,0.3791614716
100,3,263,4,2,0.4231349372
101,3,295,4,2,0.5623021577
201,3,156,6,4,0.4485050378
202,3,295,6,2,0.5623021577
159,4,70,13,2,0.821957639
160,4,201,13,2,0.2775792786
341,5,194,10,3,1.159174295
342,5,252,10,2,0.9709968729
255,6,46,8,4,2.008672211
287,7,145,9,2,0.7791544498
288,7,188,9,3,0.8929820163
289,8,124,9,3,0.9674972005
290,8,264,9,2,0.6005919037
343,9,31,10,3,0.7447697987
344,9,232,10,3,1.11260239
345,10,95,10,2,0.3875100324
346,10,128,10,1,0.5194514306
0,11,163,1,1,0.2578548159
1,11,212,1,2,0.454449012
75,11,83,3,3,0.5765059237
76,11,104,3,3,0.573090035
203,11,83,6,3,0.5765059237
204,11,104,6,3,0.573090035
228,11,28,7,2,0.6676990103
229,11,249,7,4,1.106775196
256,11,94,8,6,1.969207768
257,11,104,8,3,0.573090035
291,12,56,9,2,0.6905396438
292,12,257,9,1,0.5764591172
24,13,156,2,2,0.4120811502
25,13,250,2,2,0.3844509325
161,13,225,13,2,1.405167192
293,13,157,9,2,0.5672007766
294,13,167,9,3,0.3659396936
405,13,279,12,4,1.291627689
77,14,92,3,1,0.3179972336
78,14,167,3,2,0.4184409092
205,14,92,6,1,0.3179972336
206,14,167,6,2,0.4184409092
258,14,92,8,1,0.3179972336
259,14,167,8,2,0.4184409092
102,15,78,4,4,1.254052527
103,15,269,4,2,0.8793604392
207,15,78,6,4,1.254052527
26,16,91,2,2,0.7260340357
27,16,173,2,2,0.6923692625
104,17,110,4,1,0.5269106616
105,17,293,4,2,0.3184294687
347,17,74,10,3,0.7211087043
348,17,110,10,2,0.5269106616
79,18,186,3,2,0.4216042943
80,18,193,3,2,0.579485723
106,18,186,4,2,0.4216042943
107,18,193,4,2,0.579485723
162,19,97,13,2,0.5699074255
163,20,65,13,2,0.3870084117
164,20,217,13,2,0.3658624217
108,21,67,4,3,0.8600150176
109,21,269,4,2,1.106381584
295,22,47,9,2,0.6233898849
296,22,111,9,2,0.7390955403
230,23,41,7,2,0.580646858
231,23,157,7,3,1.098153183
28,24,156,2,3,1.337575322
29,24,164,2,2,0.9433801842
81,25,161,3,1,0.3912730372
82,25,255,3,2,0.4767456334
110,25,161,4,1,0.3912730372
111,25,255,4,2,0.4767456334
390,26,260,11,2,0.766345363
391,26,274,11,2,0.9860824728
165,27,79,13,2,0.2161943611
166,27,201,13,2,0.4600323853
30,28,162,2,1,0.3974754672
31,28,192,2,1,0.3439111246
232,28,107,7,2,0.590418737
414,28,193,14,,1.124513579
297,29,84,9,1,0.5315928111
298,29,157,9,2,0.4420623393
349,30,176,10,2,0.5366715921
350,30,190,10,3,1.530471824
351,31,303,10,2,0.9117997319
167,32,70,13,2,0.3765466602
168,32,204,13,2,0.5669496202
112,33,36,4,2,0.5686493329
113,33,164,4,1,0.3903762544
208,33,36,6,2,0.5686493329
209,33,164,6,1,0.3903762544
299,34,100,9,3,0.88559638
300,34,119,9,2,0.6839084125
392,35,245,11,2,0.7569781071
114,36,289,4,2,0.7985105458
210,36,289,6,2,0.7985105458
32,37,158,2,3,1.074800358
33,37,301,2,3,1.46355701
301,38,58,9,2,0.780662928
302,38,81,9,3,0.8859155174
352,39,128,10,2,0.3928662446
353,39,145,10,5,1.213628375
303,40,47,9,2,0.5880295923
304,40,89,9,3,0.8502672756
305,40,139,9,2,0.8006797581
306,40,170,9,1,0.3837123135
193,41,216,5,1,0.2171364256
194,41,253,5,2,0.3537013581
233,41,42,7,3,1.346420466
169,42,120,13,2,0.1269283954
170,42,292,13,2,0.1336960864
234,42,183,7,3,1.112193559
409,42,295,14,,1.993394685
171,43,79,13,2,0.5787078269
172,43,219,13,2,0.5748670784
235,43,183,7,3,0.9977045498
236,43,289,7,3,0.9730654359
83,44,161,3,1,0.1667085148
84,44,166,3,2,0.1795325579
115,44,161,4,1,0.1667085148
116,44,166,4,2,0.1795325579
237,45,207,7,2,1.008850516
238,45,243,7,2,0.8729752046
260,46,50,8,8,3.348640612
261,46,53,8,4,2.055806397
34,48,126,2,1,0.3898557541
35,48,250,2,2,0.6512123858
2,49,87,1,1,0.1111475173
3,49,197,1,2,0.4267443157
307,49,87,9,1,0.1111475173
308,49,151,9,2,0.2706703684
36,51,103,2,2,0.7844188896
37,51,215,2,2,1.35535224
117,52,1,4,2,0.7746367227
118,52,265,4,2,0.564180634
262,53,214,8,4,2.153586588
309,54,55,9,2,0.4236794205
310,54,56,9,2,0.7518998626
311,55,245,9,1,0.5908733141
354,57,187,10,4,0.8134084423
