Station code,name,zone,total_lines
11,Baker Street,1,5
28,Bond Street,1,2
49,Charing Cross,1,2
60,Covent Garden,1,1
87,Embankment,1,4
89,Euston,1,2
90,Euston Square,1,3
102,Goodge Street,1,1
104,Great Portland Street,1,3
107,Green Park,1,3
126,Holborn,1,2
145,King's Cross St. Pancras,1,6
151,Leicester Square,1,2
192,Oxford Circus,1,3
197,Picadilly Circus,1,2
212,Regent's Park,1,1
223,Russell Square,1,1
248,St. James's Park,1,2
259,Tottenham Court Road,1,2
273,Victoria,1,3
277,Warren Street,1,2
285,Westminster,1,3
